Ubicacion:,"PUNTA 1                             
",PUNTA 2,PUNTA 3                 ,PUNTA 4,TULE,TULE 2,JM,MONTE EVEREST,MONTEBELLO,PUERTA  NORTE 106,PUERTA  NORTE 122,BURDEOS 
Tipo de servicio de agua:,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,CAPAS,MIAA,MIAA,CAPAS,CAPAS,MIAA
Tipo de servicio de Luz:,CFE,CFE,CFE,CFE,CFE,CFE,CFE,CFE,CFE,CFE,CFE,CFE
Tipo de proveedor Gas:,GAS ROSA LP,GAS ROSA LP,GAS ROSA LP,GAS ROSA LP,GAS ROSA LP,GAS ROSA LP,GAS ROSA LP,GAS ROSA LP,GAS ROSA LP,GAS ROSA LP,GAS ROSA LP,NATURGY 
Tipo de proveedor Internet:,TELMEX,IZZI,TELMEX,TELMEX,IZZI,TOTALPLAY,TOTALPLAY,TOTALPLAY ,TOTALPLAY,TOTALPLAY,IZZI,DISH
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Paginas web:,CANVA,HOSTINGER ,GOOGLE WORKSHOP,CHATGPT,Column 6,Column 7,,,,,,
Tipo de servicio:,Ilustraciones,Pagina web ,Correos,Herramienta laboral,,,,,,,,
Ubicacion:,Oficina,Oficina,Oficina,Oficina,,,,,,,,
Area:,Marketing,Sistemas,Sistemas,Todas las areas,,,,,,,,
